id,Позиция,Готовый текст
4.1 Главная страница,,
4.1.2. Посадочная страница.,,
1,Заголовок №1,"Delion è una guida sicura per il commerciante, che consente di profitto"
2,Подзаголовок к заголовку №1,"Utilizzare i servizi di Delion, esercitando il commercio nei mercati finanziari "
3,Заголовок №2,Delion — comprovata affidabilità
4,Подзаголовок к заголовку №2,Numerose recensioni dei clienti confermano che dovremmo fidare
5,Заголовок №3,Approfittate di tutte le opportunità di trading sui mercati finanziari con Delion
6,Подзаголовок к заголовку №3,"CFD su azioni, indici, materie prime, valute, metalli preziosi e altri strumenti finanziari disponibili senza restrizioni."
7,Заголовок №4,Ottimi condizioni commerciali
8,Подзаголовок к заголовку №4,La completa assenza di quotazione e slittamenti per ogni cliente Delion.
4.1.3. Почему Delion? (Преимущества),,
9,Преимущество №1,Funzionalità
10,Описание преимущества №1,Utilizzare le funzionalità avanzate di analisi fondamentale e tecnica nel nuovo terminal.
11,Преимущество №2,La sicurezza
12,Описание преимущества №2,"Utilizziamo i più moderni mezzi di protezione dei dati personali dei nostri clienti, che garantisce la completa sicurezza dei vostri fondi."
13,Преимущество №3,Economia
14,Описание преимущества №3,No investimenti iniziali o di sottoscrizione. No rappresentanti.
15,Преимущество №4,L'efficacia 
16,Описание преимущества №4,Trasparenti ed equi i prezzi con controllo diretto dei costi.
17,Преимущество №5,L'assenza di commissioni per prelievi
18,Описание преимущества №5,Togliere i soldi guadagnati con il conto personale senza commissione
19,Преимущество №6,Più di 4 anni sul mercato
20,Описание преимущества №6,"Grazie al nostro supporto, per 4 anni i nostri clienti sono riusciti a guadagnare sui mercati finanziari."
4.1.5. Дополнительные преимущества.,,
27,Преимущество №1,6 premi internazionali
28,Описание преимущества №1,"Nel corso della sua esistenza, l'azienda è diventata leader nel settore CFD trading."
29,Преимущество №2,Pagamenti istantanei
30,Описание преимущества №2,Alta velocità di esecuzione delle operazioni. Senza quotazione e slittamenti.
31,Преимущество №3,L'esecuzione automatica di operazioni
32,Описание преимущества №3,"Passare tutto il lavoro associato con le transazioni, il nostro programma che esegue tutto il lavoro duro per voi."
33,Преимущество №4,Minimi di spread
34,Описание преимущества №4,Fai trading sui mercati finanziari con un minimo di spread.
4.1.6. Три шага для начала торговли.,,
35,Шаг №1,Iscriviti
36,Описание Шага №1,In pochi minuti è possibile creare un account e scegliere le migliori condizioni di trading.
37,Шаг №2,L'attivazione di un conto di trading
38,Описание Шага №2,Caricare il tuo conto conveniente per voi di metodo.
39,Шаг №3,Il primo accordo
40,Описание Шага №3,"Utilizzare le funzioni di Delion, per ottenere profitti quando si fa trading"
4.1.7. Информация об аккаунтах.,,
41,Аккаунт №1,Silver
42,Подзаголовок для аккаунта №1,Le migliori condizioni di trading per chi vuole provare voi stessi nel ruolo di un commerciante
43,Возможности аккаунта №1,Deposito minimo
431,,$100
432,,Leva
433,,1:20
434,,Esecuzione immediata
44,Аккаунт №2,Gold
45,Подзаголовок для аккаунта №2,Opportunità uniche per gli esperti di i mercati finanziari
46,Возможности аккаунта №2,Deposito minimo
461,,$1 000
462,,Leva
463,,1:500
464,,Esecuzione immediata
465,,Il commercio di criptovalute
466,,Assicurazione dei depositi
