id,Позиция,Готовый текст
4.1 Главная страница,,
4.1.2. Посадочная страница.,,
1,Заголовок №1,"Delion — guide de confiance pour l'opérateur, permettant un bénéfice"
2,Подзаголовок к заголовку №1,"Utilisez le service Delion, par le commerce sur les marchés financiers "
3,Заголовок №2,Delion — une fiabilité éprouvée
4,Подзаголовок к заголовку №2,"De nombreux témoignages de clients le confirment, que devrions-nous faire confiance"
5,Заголовок №3,Profitez de toutes les possibilités de négociation sur les marchés financiers avec Delion
6,Подзаголовок к заголовку №3,"Les CFD sur actions, indices, matières premières, devises, métaux précieux et autres instruments financiers sont disponibles sans restriction."
7,Заголовок №4,Les meilleurs conditions commerciales
8,Подзаголовок к заголовку №4,L'absence totale de re-cotation et de glissement pour chaque client Delion.
4.1.3. Почему CFDRise Capital? (Преимущества),,
9,Преимущество №1,La fonctionnalité
10,Описание преимущества №1,Utilisez les fonctionnalités avancées d'analyse fondamentale et technique dans le nouveau terminal.
11,Преимущество №2,Sécurité
12,Описание преимущества №2,"Nous utilisons les moyens les plus modernes de la protection des données personnelles de nos clients, ce qui garantit toute la sécurité de vos fonds."
13,Преимущество №3,La rentabilité
14,Описание преимущества №3,Pas d'investissement initial ou de l'abonnement. Pas de représentants.
15,Преимущество №4,L'efficacité 
16,Описание преимущества №4,Transparentes et équitables prix avec le contrôle direct des coûts.
17,Преимущество №5,L'absence de commissions d'encaissement
18,Описание преимущества №5,Sortez-les gagné de l'argent avec un compte personnel sans commission
19,Преимущество №6,Plus de 4 ans sur le marché
20,Описание преимущества №6,"Grâce à notre soutien, en 4 ans, nos clients ont réussi à gagner de l'argent sur les marchés financiers."
4.1.5. Дополнительные преимущества.,,
27,Преимущество №1,6 prix internationaux
28,Описание преимущества №1,"Au cours de son existence, la société est devenue un leader dans l'industrie de la CFD trading."
29,Преимущество №2,Des paiements immédiats
30,Описание преимущества №2,Haute vitesse de réalisation des opérations. Sans re-cotation et de glissement.
31,Преимущество №3,Exécution automatique
32,Описание преимущества №3,"Transmettez l'ensemble des travaux liés à des transactions, notre programme, ce qui fait tout le travail dur pour vous."
33,Преимущество №4,Spread
34,Описание преимущества №4,La négociation sur les marchés financiers avec la plus faible des marges.
4.1.6. Три шага для начала торговли.,,
35,Шаг №1,Enregistrement
36,Описание Шага №1,"En seulement quelques minutes, vous pourrez créer un compte et de choisir les meilleures conditions."
37,Шаг №2,L'activation du compte commercial
38,Описание Шага №2,Recharge pratique pour vous de la méthode.
39,Шаг №3,La première opération
40,Описание Шага №3,"Utilisez les fonctions d'Delion, pour obtenir des profits lors de la négociation"
4.1.7. Информация об аккаунтах.,,
41,Аккаунт №1,Silver
42,Подзаголовок для аккаунта №1,Les conditions commerciales optimales pour ceux qui veulent s'essayer dans le rôle d'un trader
43,Возможности аккаунта №1,Dépôt minimum
431,,$100
432,,Effet de levier
433,,1:20
434,,L'exécution immédiate
44,Аккаунт №2,Gold
45,Подзаголовок для аккаунта №2,Des possibilités uniques pour l'expérience des acteurs des marchés financiers
46,Возможности аккаунта №2,Dépôt minimum
461,,$1 000
462,,Effet de levier
463,,1:500
464,,L'exécution immédiate
465,,Le commerce de crypto-monnaies
466,,Assurance-dépôts
