id,Позиция,Готовый текст
4.1 Главная страница,,
4.1.2. Посадочная страница.,,
1,Заголовок №1,"Delion — zuverlässiger Führer für die Gewerbetreibenden, die den Gewinn"
2,Подзаголовок к заголовку №1,"Verwenden Sie die Dienste Delion, die durch den Handel auf den Finanzmärkten "
3,Заголовок №2,"Delion — Zuverlässigkeit, bewährte"
4,Подзаголовок к заголовку №2,"Zahlreiche Kundenrezensionen bestätigen, dass es sich lohnt zu Vertrauen"
5,Заголовок №3,"Nutzen Sie alle Möglichkeiten, den Handel auf Finanzmärkten mit Delion"
6,Подзаголовок к заголовку №3,"CFDs auf Aktien, Indizes, Rohstoffe, Währungen, Edelmetalle und andere Finanzinstrumente ohne Einschränkungen zur Verfügung."
7,Заголовок №4,Die günstige Handelsbedingungen
8,Подзаголовок к заголовку №4,Das vollständige fehlen von Requotes und slippage für jeden Kunden Delion.
4.1.3. Почему CFDRise Capital? (Преимущества),,
9,Преимущество №1,Funktionalität
10,Описание преимущества №1,Verwenden Sie die erweiterten Möglichkeiten der fundamentalen und der technischen Analyse im neuen Terminal.
11,Преимущество №2,Sicherheit
12,Описание преимущества №2,Wir verwenden die modernsten Mittel zum Schutz der personenbezogenen Daten unserer Kunden und garantiert volle Sicherheit Ihrer Gelder.
13,Преимущество №3,Wirtschaftlichkeit
14,Описание преимущества №3,Keine Vorabinvestitionen oder Abonnements. Keine Handelsvertreter.
15,Преимущество №4,Effizienz 
16,Описание преимущества №4,Transparente und faire Preise mit direkter Kostenkontrolle.
17,Преимущество №5,Keine Gebühren bei Auszahlungen
18,Описание преимущества №5,Schlussfolgerungen verdientes Geld mit persönlichen Konten ohne provision
19,Преимущество №6,Mehr als 4 Jahre auf dem Markt
20,Описание преимущества №6,Mit unserer Unterstützung seit 4 Jahren unsere Kunden konnten erfolgreich verdienen auf den Finanzmärkten.
4.1.5. Дополнительные преимущества.,,
27,Преимущество №1,6 internationale Auszeichnungen
28,Описание преимущества №1,"Während seiner Existenz, das Unternehmen zu einem Marktführer in der Branche der CFD-Handel."
29,Преимущество №2,Sofortige Zahlungen
30,Описание преимущества №2,High-Speed-Transaktionen. Ohne Requotes und slippage.
31,Преимущество №3,Die automatische Ausführung von Operationen
32,Описание преимущества №3,"Übergeben Sie die ganze Arbeit im Zusammenhang mit Transaktionen, unserem Programm, die macht die ganze harte Arbeit für Sie."
33,Преимущество №4,Die minimalen Spreads
34,Описание преимущества №4,Handeln Sie auf Finanzmärkten mit minimalen Spreads.
4.1.6. Три шага для начала торговли.,,
35,Шаг №1,Registrieren
36,Описание Шага №1,Und in nur wenigen Augenblicken können Sie ein Konto erstellen und wählen Sie für sich die besten Trading-Konditionen.
37,Шаг №2,Die Aktivierung des Handelskontos
38,Описание Шага №2,Die ergnzung der Rechnung die für Sie bequemste Methode.
39,Шаг №3,Die erste Transaktion
40,Описание Шага №3,"Verwenden Sie die Funktionen Delion, um Gewinne beim Handel"
4.1.7. Информация об аккаунтах.,,
41,Аккаунт №1,Silver
42,Подзаголовок для аккаунта №1,"Optimale Handelsbedingungen für diejenigen, die versuchen, sich in die Rolle des Händlers"
43,Возможности аккаунта №1,Minimale Einzahlung
431,,$100
