id,Позиция,Готовый текст
4.1 Главная страница,,
4.1.2. Посадочная страница.,,
1,Заголовок №1,"Delion is a reliable guide for the trader, providing profit"
2,Подзаголовок к заголовку №1,Use services Delion in the process of trading in the financial markets
3,Заголовок №2,Delion is time-tested reliability
4,Подзаголовок к заголовку №2,Numerous customer reviews confirm that we are trustworthy
5,Заголовок №3,Take advantages of all the opportunities offered by trading on the financial markets with Delion
6,Подзаголовок к заголовку №3,"CFDs on stocks, indices, raw materials, currencies, precious metals and other financial instruments are available without restrictions."
7,Заголовок №4,Our clients receive a large set of premium services.
8,Подзаголовок к заголовку №4,Complete absence of requotes and slippages for each Delion client.
4.1.3. Почему Delion? (Преимущества),,
9,Преимущество №1,Functionality
10,Описание преимущества №1,Use the advanced features of fundamental and technical analysis in the new terminal.
11,Преимущество №2,Secure transactions with 3d Secure
12,Описание преимущества №2,"We use the most modern means of protecting our clients personal data, which guarantees complete security of your funds."
13,Преимущество №3,Rationality
14,Описание преимущества №3,No upfront investment or subscription. There are no sales representatives.
15,Преимущество №4,Efficiency
16,Описание преимущества №4,Transparent and fair prices with direct cost control.
17,Преимущество №5,No commissions when withdrawing funds
18,Описание преимущества №5,Withdraw earned money from your personal account without Commission
19,Преимущество №6,More than 4 years on the market
20,Описание преимущества №6,"Thanks to our support, our clients have been able to successfully earn money in the financial markets for 4 years."
4.1.5. Дополнительные преимущества.,,
27,Преимущество №1,6 international awards
28,Описание преимущества №1,"During its existence, the company has become a leader in the CFD trading industry."
29,Преимущество №2,Instant payments
30,Описание преимущества №2,High speed of operations. No requotes or slips.
31,Преимущество №3,Automatic execution of operations
32,Описание преимущества №3,"Pass all the work related to transactions to our program, which will do all the hard work for you."
33,Преимущество №4,Minimum spreads
34,Описание преимущества №4,Trade on financial markets with minimal spreads.
4.1.6. Три шага для начала торговли.,,
35,Шаг №1,Registration
36,Описание Шага №1,"In just a couple of minutes, you can create an account and choose the best trading conditions for yourself."
37,Шаг №2,Activating a trading account
38,Описание Шага №2,Adding funds to your account using a convenient method.
39,Шаг №3,The first transaction
40,Описание Шага №3,Use the Delion functions to make a profit when trading
4.1.7. Информация об аккаунтах.,,
41,Аккаунт №1,Silver
42,Подзаголовок для аккаунта №1,Optimal trading conditions for those who want to try themselves as a trader
43,Возможности аккаунта №1,Minimum Deposit
431,,$100
432,,Leverage
433,,1:20
434,,Instant execution
44,Аккаунт №2,Gold
45,Подзаголовок для аккаунта №2,Unique opportunities for experienced financial market participants
46,Возможности аккаунта №2,Minimum Deposit
461,,$1 000
462,,Leverage
463,,1:500
464,,Instant execution
465,,Cryptocurrency trading
466,,Deposit insurance
47,Аккаунт №3,Platinum
48,Подзаголовок для аккаунта №3,A special status that opens up new privileges for experienced traders
49,Возможности аккаунта №3,Minimum Deposit
491,,$10 000
492,,Leverage
493,,1:500
494,,Instant execution
495,,Cryptocurrency trading
496,,Deposit insurance
497,,Deposit protection
498,,Round-the-clock personal support
4.1.8. Футер,,
