id,Позиция,Готовый текст
4.1 Главная страница,,
4.1.2. Посадочная страница.,,
1,Заголовок №1,"Delion — надежный проводник для трейдера, обеспечивающий прибыль"
2,Подзаголовок к заголовку №1,"Пользуйтесь услугами Delion, осуществляя торговлю на финансовых рынках "
3,Заголовок №2,"Delion — надежность, проверенная временем"
4,Подзаголовок к заголовку №2,"Многочисленные отзывы клиентов подтверждают, что нам стоит доверять"
5,Заголовок №3,"Воспользуйтесь всеми возможностями, торгуя на финансовых рынках с Delion"
6,Подзаголовок к заголовку №3,"CFD на акции, индексы, сырье, валюты, драгоценные металлы и другие финансовые инструменты доступны без ограничений."
7,Заголовок №4,Самые выгодные торговые условия
8,Подзаголовок к заголовку №4,Полное отсутствие реквот и проскальзываний для каждого клиента Delion.
4.1.3. Почему Delion? (Преимущества),,
9,Преимущество №1,Функциональность
10,Описание преимущества №1,Используйте расширенные возможности фундаментального и технического анализа в новом терминале.
11,Преимущество №2,Безопасность
12,Описание преимущества №2,"Мы используем самые современные средства защиты персональных данных наших клиентов, что гарантирует полную безопасность ваших средств."
13,Преимущество №3,Экономичность
14,Описание преимущества №3,Нет авансовых инвестиций или подписки. Нет торговых представителей.
15,Преимущество №4,Эффективность 
16,Описание преимущества №4,Прозрачные и справедливые цены с прямым контролем затрат.
17,Преимущество №5,Отсутствие комиссий при выводе средств
18,Описание преимущества №5,Выводите заработанные деньги с личного счета без комиссии
19,Преимущество №6,Более 4-х лет на рынке
20,Описание преимущества №6,"Благодаря нашей поддержке, за 4 года наши клиенты смогли успешно заработать на финансовых рынках."
4.1.5. Дополнительные преимущества.,,
27,Преимущество №1,6 международных наград
28,Описание преимущества №1,За время своего существования компания стала лидером в индустрии CFD-трейдинга.
29,Преимущество №2,Мгновенные платежи
30,Описание преимущества №2,Высокая скорость совершения операций. Без реквот и проскальзываний.
31,Преимущество №3,Автоматическое выполнение операций
32,Описание преимущества №3,"Передайте всю работу, связанную с транзакциями, нашей программе, которая выполнит всю тяжелую работу за вас."
33,Преимущество №4,Минимальные спреды
34,Описание преимущества №4,Торгуйте на финансовых рынках с минимальными спредами.
4.1.6. Три шага для начала торговли.,,
35,Шаг №1,Регистрация
36,Описание Шага №1,Всего за пару минут вы сможете создать аккаунт и выбрать для себя лучшие торговые условия.
37,Шаг №2,Активация торгового счета
38,Описание Шага №2,Пополнение счета удобным для вас методом.
39,Шаг №3,Первая сделка
40,Описание Шага №3,"Пользуйтесь функциями Delion, чтобы получить прибыль при торговле"
4.1.7. Информация об аккаунтах.,,
41,Аккаунт №1,Silver
42,Подзаголовок для аккаунта №1,"Оптимальные торговые условия для тех, кто хочет попробовать себя в роли трейдера"
43,Возможности аккаунта №1,"- Минимальный депозит: $100;
- Кредитное плечо: 1:20;
- Моментальное исполнение;"
44,Аккаунт №2,Gold
45,Подзаголовок для аккаунта №2,Уникальные возможности для опытных участников финансовых рынков
46,Возможности аккаунта №2,"- Минимальный депозит: $1 000;
- Кредитное плечо: 1:500;
- Моментальное исполнение;
- Торговля криптовалютами;
- Страхование депозитов;"
47,Аккаунт №3,Platinum
