id,Позиция,Готовый текст
4.1 Главная страница,,
4.1.2. Посадочная страница.,,
1,Заголовок №1,Delion—一个可靠的指南的交易，以确保利润
2,Подзаголовок к заголовку №1,使用该服务的Delion，通过在金融市场进行交易 
3,Заголовок №2,Delion—可靠性、经过时间考验的
4,Подзаголовок к заголовку №2,众多的客户推荐确认，我们应该相信
5,Заголовок №3,利用所有交易金融市场上与Delion
6,Подзаголовок к заголовку №3,差价股票指数、商品、货币、贵重金属和其他金融工具可没有限制。
7,Заголовок №4,最有利的交易条件
8,Подзаголовок к заголовку №4,完全没有重新报价和滑动为每个客户Delion.
4.1.3. Почему Delion? (Преимущества),,
9,Преимущество №1,功能
10,Описание преимущества №1,使用先进的功能的基本和技术分析的新的终端。
11,Преимущество №2,安全
12,Описание преимущества №2,我们使用最现代化手段保护个人数据的我们的客户，这可确保完全的安全资金。
13,Преимущество №3,效率
14,Описание преимущества №3,有前期的投资或订阅。 没有销售代表。
15,Преимущество №4,效率 
16,Описание преимущества №4,透明和公平的定价直接的成本控制。
17,Преимущество №5,没有委员会对提款的
18,Описание преимущества №5,撤销赚来的钱从你的个人账户，没有收费
19,Преимущество №6,4年多的市场上
20,Описание преимущества №6,感谢我们的支持，对于4年我们的客户已经能够成功地赚取的金融市场。
4.1.5. Дополнительные преимущества.,,
27,Преимущество №1,6国际奖项
28,Описание преимущества №1,在其存在的公司已经成为一个领先的行业的合约交易。
29,Преимущество №2,即时付款
30,Описание преимущества №2,高速的行动。 没有重新报价和延误.
31,Преимущество №3,自动操作
32,Описание преимущества №3,通过所有的工作相关联的交易，该方案做了所有辛勤工作。
33,Преимущество №4,最低利差
34,Описание преимущества №4,贸易金融市场上的低利差。
4.1.6. Три шага для начала торговли.,,
35,Шаг №1,检查
36,Описание Шага №1,在短短几分钟，你将能够创建一个帐户，并为自己选择的更好的贸易条件。
37,Шаг №2,激活的交易账户
38,Описание Шага №2,资助你的帐户方便的方法。
39,Шаг №3,第一次交易
40,Описание Шага №3,使用的功能Delion，为了利润，当交易
4.1.7. Информация об аккаунтах.,,
41,Аккаунт №1,银
42,Подзаголовок для аккаунта №1,最佳的交易条件对于那些想试试自己作为一个交易
43,Возможности аккаунта №1,"-最低存款:100美元；
-利用:1:20;
-即时执行；"
44,Аккаунт №2,黄金
45,Подзаголовок для аккаунта №2,独特的机会，为有经验的金融市场参与者
46,Возможности аккаунта №2,"-最低存款：1 000美元;
-利用:1:500;
-即时执行；
-加密货币交易；
-保险的存款中的款项；"
47,Аккаунт №3,白金
48,Подзаголовок для аккаунта №3,特别状态，开辟了新的利益的贸易商
49,Возможности аккаунта №3,"-最低存款金额：10 000美元;
-利用:1:500;
-即时执行；
-加密货币交易；
-保险的存款中的款项；
-保护存款中的款项；
全天候的个人的支持；"
4.1.8. Футер,,
50,Блок №1,差价是一个专业的工具开展高风险的迅速金钱损失，因为杠杆作用。 一定数量的账户零售业的投资者遭受损失的交易差价与这个供应商。 你应该是肯定的，你了解的机构的贸易差价合约。 与所有可能的风险，可以发现在个人内阁的平台。
