id,Позиция,Готовый текст
4.1 Главная страница,,
4.1.2. Посадочная страница.,,
1,Заголовок №1,"Delion es una guía confiable para el comerciante, proporcionando ganancias"
2,Подзаголовок к заголовку №1,Utilizar los servicios de eliminación en el proceso de negociación en los mercados financieros
3,Заголовок №2,Delion es una fiabilidad probada en el tiempo
4,Подзаголовок к заголовку №2,Numerosos comentarios de los clientes confirman que somos confiables
5,Заголовок №3,Aproveche todas las oportunidades que ofrece el comercio en los mercados financieros con Delion
6,Подзаголовок к заголовку №3,"Los CFDs sobre acciones, índices, materias primas, divisas, metales preciosos y otros instrumentos financieros están disponibles sin restricciones."
7,Заголовок №4,Nuestros clientes reciben una gran multitud de servicios premium.
8,Подзаголовок к заголовку №4,Complete absence of requotes and slippages for each Delion client.
4.1.3. Почему Delion? (Преимущества),,
9,Преимущество №1,La funcionalidad de
10,Описание преимущества №1,Utilice las capacidades avanzadas de análisis fundamental y técnico en el nuevo terminal.
11,Преимущество №2,La seguridad
12,Описание преимущества №2,"Utilizamos las más modernas herramientas de protección de los datos personales de nuestros clientes, lo que garantiza la total seguridad de sus fondos."
13,Преимущество №3,La rentabilidad
14,Описание преимущества №3,No hay inversión inicial o de la suscripción. Ninguno de los representantes comerciales.
15,Преимущество №4,La eficacia de la 
16,Описание преимущества №4,Transparentes y justos precios con el control directo de los costos.
17,Преимущество №5,La ausencia de comisiones de los fondos de
18,Описание преимущества №5,Retiras el dinero de su cuenta sin comisión
19,Преимущество №6,Más de 4 años en el mercado
20,Описание преимущества №6,"Con nuestro apoyo, por 4 años, nuestros clientes han podido ganar con éxito en los mercados financieros."
4.1.5. Дополнительные преимущества.,,
27,Преимущество №1,6 premios internacionales
28,Описание преимущества №1,"Durante su existencia, la empresa se convirtió en líder en la industria de la CFD trading."
29,Преимущество №2,Pagos instantáneos
30,Описание преимущества №2,La alta velocidad de las transacciones. Sin re-cotizaciones y deslizamientos.
31,Преимущество №3,La ejecución automática de operaciones de
32,Описание преимущества №3,"Pase toda la labor relacionada con las transacciones de nuestro programa, que se llevará a cabo todo el trabajo duro por usted."
33,Преимущество №4,Los spreads mínimos
34,Описание преимущества №4,"Operar en los mercados financieros, con spreads más bajos."
4.1.6. Три шага для начала торговли.,,
35,Шаг №1,Registro
36,Описание Шага №1,En sólo un par de minutos usted será capaz de crear una cuenta y elegir las mejores condiciones de trading.
37,Шаг №2,La activación de la cuenta comercial
38,Описание Шага №2,Recarga conveniente para usted el método.
39,Шаг №3,La primera transacción
40,Описание Шага №3,"Utilice las funciones de Delion, para obtener un beneficio en el comercio"
4.1.7. Информация об аккаунтах.,,
41,Аккаунт №1,Silver
42,Подзаголовок для аккаунта №1,Condiciones óptimas de operación para aquellos que quieren probar a sí mismo en el papel de un comerciante
43,Возможности аккаунта №1,Depósito mínimo
431,,$100
432,,Apalancamiento
433,,1:20
434,,De ejecución inmediata
44,Аккаунт №2,Gold
45,Подзаголовок для аккаунта №2,Únicas oportunidades para la experiencia de los participantes de los mercados financieros
46,Возможности аккаунта №2,Depósito mínimo
461,,$1 000;
462,,Apalancamiento
463,,1:500
464,,De ejecución inmediata
465,,El comercio криптовалютами
466,,El seguro de depósitos
